Name,Image,Type,Weapon,Group,AP,WP,Attribute,Damage,Card id,Becomes,Drawn at,What it shows,Note
Frost Wand - Bolt,,Card,Frost Wand,Cost 2,2,,Mind,Cold,frost-wand-bolt,cards/frost-wand-bolt.webp + frost-wand-bolt-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Mind Ranged Attack against an entity within 18 Meter (60 Feet) of you. On a hit, you deal 1d6 + Mind as Cold damage.",
Frost Wand - Volley,,Card,Frost Wand,Cost 2,5,2,Mind,Cold,frost-wand-volley,cards/frost-wand-volley.webp + frost-wand-volley-thumb.webp,"360 x 270 on a dealt card, 92px on a brief",Three bolts leave the wand at once. You may send them all at one entity within 18 Meter (60 Feet) of you or split them between any entities in that range. Make one Mind Ranged Attack and hold it against each of them. Every bolt that beats its target deals 1d6 + Mind as Cold damage.,
Lightning Wand - Bolt,,Card,Lightning Wand,Cost 2,2,,Mind,Lightning,lightning-wand-bolt,cards/lightning-wand-bolt.webp + lightning-wand-bolt-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Mind Ranged Attack against an entity within 18 Meter (60 Feet) of you. On a hit, you deal 1d6 + Mind as Lightning damage.",
Lightning Wand - Volley,,Card,Lightning Wand,Cost 2,5,2,Mind,Lightning,lightning-wand-volley,cards/lightning-wand-volley.webp + lightning-wand-volley-thumb.webp,"360 x 270 on a dealt card, 92px on a brief",Three bolts leave the wand at once. You may send them all at one entity within 18 Meter (60 Feet) of you or split them between any entities in that range. Make one Mind Ranged Attack and hold it against each of them. Every bolt that beats its target deals 1d6 + Mind as Lightning damage.,
Melee Light - Strike,,Card,Melee Light,Cost 3,3,,Physique,Sharp or Blunt,melee-light-strike,cards/melee-light-strike.webp + melee-light-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 2d6 + Physique as Sharp or Blunt damage.","One picture serves three weapons: Melee Light, Cold-Infused Sword, Patient, Grave-Lantern Blade"
Melee Light - Swift Strike,,Card,Melee Light,Cost 3,2,,Physique,Sharp or Blunt,melee-light-swift-strike,cards/melee-light-swift-strike.webp + melee-light-swift-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack with disadvantage against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 2d6 + Physique as Sharp or Blunt damage.","One picture serves three weapons: Melee Light, Cold-Infused Sword, Patient, Grave-Lantern Blade"
Bow - Shoot,,Card,Bow,Cost 3,3,,Instinct,Sharp,bow-shoot,cards/bow-shoot.webp + bow-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack against an entity within 25 Meter (80 Feet) of you. On a hit, you deal 2d6 + Instinct as Sharp damage.",
Bow - Aimed Shot,,Card,Bow,Cost 3,4,1,Instinct,Sharp,bow-aimed-shot,cards/bow-aimed-shot.webp + bow-aimed-shot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack with disadvantage against an entity within 25 Meter (80 Feet) of you. On a hit, the shot is a Critical Hit, dealing 2d6 + Instinct as Sharp damage.",
Flintlock Rifle - Shoot,,Card,Flintlock Rifle,Cost 3,1,,Instinct,Sharp,flintlock-rifle-shoot,cards/flintlock-rifle-shoot.webp + flintlock-rifle-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack against an entity within 30 Meter (100 Feet) of you. On a hit, you deal 2d6 + Instinct as Sharp damage. A shot is spent. With both gone you must Reload before you can Shoot again.",
Flintlock Rifle - Reload,,Card,Flintlock Rifle,Cost 3,4,,Instinct,,flintlock-rifle-reload,cards/flintlock-rifle-reload.webp + flintlock-rifle-reload-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You ram two charges home and prime the pan. Your Flintlock Rifle is loaded with 2 Shots again, and stays loaded until you Shoot them.",No attack on it. The picture is the weapon being loaded.
Whip - Lash,,Card,Whip,Cost 3,3,,Instinct,Sharp,whip-lash,cards/whip-lash.webp + whip-lash-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 4.5 Meter (15 Feet) of you. On a hit, you deal 2d6 + Instinct as Sharp damage.",
Whip - Pull,,Card,Whip,Cost 3,3,1,Instinct,Sharp,whip-pull,cards/whip-pull.webp + whip-pull-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 4.5 Meter (15 Feet) of you. On a hit, you deal 2d6 + Instinct as Sharp damage. You then either pull the target 4.5 Meter (15 Feet) toward you or pull yourself 4.5 Meter (15 Feet) toward the target.",
Light Crossbow - Shoot,,Card,Light Crossbow,Cost 3,2,,Instinct,Sharp,light-crossbow-shoot,cards/light-crossbow-shoot.webp + light-crossbow-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack against an entity within 25 Meter (80 Feet) of you. On a hit, you deal 2d6 + Instinct as Sharp damage. The bolt is spent. You cannot Shoot again until you have Reloaded.",
Light Crossbow - Reload,,Card,Light Crossbow,Cost 3,1,,Instinct,,light-crossbow-reload,cards/light-crossbow-reload.webp + light-crossbow-reload-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You draw the string back and seat a fresh bolt. Your Light Crossbow is loaded again, and stays loaded until you Shoot.",No attack on it. The picture is the weapon being loaded.
Psychic Tome - Recite,,Card,Psychic Tome of Incantations,Cost 3,3,,Mind,Psychic,psychic-tome-recite,cards/psychic-tome-recite.webp + psychic-tome-recite-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You read a line aloud. Make a Mind Roll against the Grit of an entity within 12 Meter (40 Feet) of you. On a success, you deal 2d6 + Mind as Psychic damage.",
Psychic Tome - Chorus,,Card,Psychic Tome of Incantations,Cost 3,4,2,Mind,Psychic,psychic-tome-chorus,cards/psychic-tome-chorus.webp + psychic-tome-chorus-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You read the whole passage. Make a Mind Roll against the Grit of all entities within 6 Meter (20 Feet) of you. On a success, you deal 2d6 + Mind as Psychic damage.",
Sacred Tome - Recite,,Card,Sacred Tome of Incantations,Cost 3,3,,Mind,Sacred,sacred-tome-recite,cards/sacred-tome-recite.webp + sacred-tome-recite-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You read a line aloud. Make a Mind Roll against the Grit of an entity within 12 Meter (40 Feet) of you. On a success, you deal 2d6 + Mind as Sacred damage.",
Sacred Tome - Chorus,,Card,Sacred Tome of Incantations,Cost 3,4,2,Mind,Sacred,sacred-tome-chorus,cards/sacred-tome-chorus.webp + sacred-tome-chorus-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You read the whole passage. Make a Mind Roll against the Grit of all entities within 6 Meter (20 Feet) of you. On a success, you deal 2d6 + Mind as Sacred damage.",
Decay Tome - Recite,,Card,Decay Tome of Incantations,Cost 3,3,,Mind,Decay,decay-tome-recite,cards/decay-tome-recite.webp + decay-tome-recite-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You read a line aloud. Make a Mind Roll against the Grit of an entity within 12 Meter (40 Feet) of you. On a success, you deal 2d6 + Mind as Decay damage.",
Decay Tome - Chorus,,Card,Decay Tome of Incantations,Cost 3,4,2,Mind,Decay,decay-tome-chorus,cards/decay-tome-chorus.webp + decay-tome-chorus-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You read the whole passage. Make a Mind Roll against the Grit of all entities within 6 Meter (20 Feet) of you. On a success, you deal 2d6 + Mind as Decay damage.",
Paired Finesse - Strike,,Card,Paired Finesse,Cost 3,3,,Instinct,Sharp,paired-finesse-strike,cards/paired-finesse-strike.webp + paired-finesse-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack with disadvantage against an entity within 1 Meter (3 Feet) of you. On a hit, both blades land and you deal 1d4 + Instinct as Sharp damage twice.",
Paired Finesse - Whirlwind,,Card,Paired Finesse,Cost 3,3,1,Instinct,Sharp,paired-finesse-whirlwind,cards/paired-finesse-whirlwind.webp + paired-finesse-whirlwind-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You turn once with both blades out. Make an Instinct Roll with disadvantage against the Reflex of all entities within 1 Meter (3 Feet) of you. On a success, you deal 1d4 + Instinct as Sharp damage twice.",
Enchanted Instrument - Blast,,Card,Enchanted Instrument,Cost 3,3,,Instinct,Force,enchanted-instrument-blast,cards/enchanted-instrument-blast.webp + enchanted-instrument-blast-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You strike a note and the air in front of it moves. Make an Instinct Ranged Attack against an entity within 15 Meter (50 Feet) of you. On a hit, you deal 2d6 + Instinct as Force damage.",
Enchanted Instrument - Discord,,Card,Enchanted Instrument,Cost 3,3,1,Instinct,Force,enchanted-instrument-discord,cards/enchanted-instrument-discord.webp + enchanted-instrument-discord-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You bend the note until it is wrong. Make an Instinct Roll against the Grit of an entity within 15 Meter (50 Feet) of you. On a success, you deal 2d6 + Instinct as Force damage and the target has disadvantage on their next roll.",
Finesse + Shield - Strike,,Card,Finesse + Shield,Cost 3,3,,Instinct,Sharp,finesse-shield-strike,cards/finesse-shield-strike.webp + finesse-shield-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 1d6 + Instinct as Sharp damage.",
Shield - Guard,,Card,Finesse + Shield,Cost 3,,,,,shield-guard,cards/shield-guard.webp + shield-guard-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","While this is the weapon in your hand, your Armor is increased by 3 and your Defense is increased by 1. Both are already on your sheet. Stow the weapon and both come off with it.","One picture serves three weapons: Finesse + Shield, Melee Light + Shield, Melee Heavy + Shield"
Melee Heavy - Strike,,Card,Melee Heavy,Cost 4,4,,Physique,Sharp or Blunt,melee-heavy-strike,cards/melee-heavy-strike.webp + melee-heavy-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 2d6 + 2 x Physique as Sharp or Blunt damage.",
Melee Heavy - Cleave,,Card,Melee Heavy,Cost 4,4,1,Physique,Sharp or Blunt,melee-heavy-cleave,cards/melee-heavy-cleave.webp + melee-heavy-cleave-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against all entities within 1 Meter (3 Feet) in front of you. On a hit, you deal 2d6 + 2 x Physique as Sharp or Blunt damage.",
Long Bow - Shoot,,Card,Long Bow,Cost 4,4,,Physique,Sharp,long-bow-shoot,cards/long-bow-shoot.webp + long-bow-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Ranged Attack against an entity within 45 Meter (150 Feet) of you. On a hit, you deal 2d6 + 2 x Physique as Sharp damage.",
Long Bow - Aimed Shot,,Card,Long Bow,Cost 4,5,1,Physique,Sharp,long-bow-aimed-shot,cards/long-bow-aimed-shot.webp + long-bow-aimed-shot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Ranged Attack with disadvantage against an entity within 45 Meter (150 Feet) of you. On a hit, the shot is a Critical Hit, dealing 2d6 + 2 x Physique as Sharp damage.",
Portable Canon - Shoot,,Card,Portable Canon,Cost 4,1,,Instinct,Blunt,portable-canon-shoot,cards/portable-canon-shoot.webp + portable-canon-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack against an entity within 25 Meter (80 Feet) of you. On a hit, you deal 2d6 + 2 x Instinct as Blunt damage. The shot is spent. You cannot Shoot again until you have Reloaded.",
Portable Canon - Reload,,Card,Portable Canon,Cost 4,3,,Instinct,,portable-canon-reload,cards/portable-canon-reload.webp + portable-canon-reload-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You tip the muzzle up, pour the charge and seat the ball on it. Your Portable Canon is loaded with 1 Shot again, and stays loaded until you Shoot it.",No attack on it. The picture is the weapon being loaded.
Polearm - Thrust,,Card,Polearm,Cost 4,4,,Instinct,Sharp,polearm-thrust,cards/polearm-thrust.webp + polearm-thrust-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 3 Meter (10 Feet) of you. On a hit, you deal 2d6 + 2 x Instinct as Sharp damage.","One picture serves three weapons: Polearm, Deep Sea Trident"
Polearm - Drive,,Card,Polearm,Cost 4,4,1,Instinct,Sharp,polearm-drive,cards/polearm-drive.webp + polearm-drive-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Melee Attack against an entity within 3 Meter (10 Feet) of you. On a hit, you deal 2d6 + 2 x Instinct as Sharp damage and push the target 3 Meter (10 Feet) directly away from you.","One picture serves three weapons: Polearm, Deep Sea Trident"
Crossbow - Shoot,,Card,Crossbow,Cost 4,3,,Instinct,Sharp,crossbow-shoot,cards/crossbow-shoot.webp + crossbow-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack against an entity within 30 Meter (100 Feet) of you. On a hit, you deal 2d6 + 2 x Instinct as Sharp damage. The bolt is spent. You cannot Shoot again until you have Reloaded.",
Crossbow - Reload,,Card,Crossbow,Cost 4,1,,Instinct,,crossbow-reload,cards/crossbow-reload.webp + crossbow-reload-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You put a foot in the stirrup and haul the string back to the catch. Your Crossbow is loaded again, and stays loaded until you Shoot.",No attack on it. The picture is the weapon being loaded.
Rivenstave - Blast,,Card,Rivenstave,Cost 4,4,,Mind,Sharp,sharp-staff-blast,cards/sharp-staff-blast.webp + sharp-staff-blast-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Mind Ranged Attack against an entity within 18 Meter (60 Feet) of you. On a hit, you deal 2d6 + 2 x Mind as Sharp damage.",
Rivenstave - Burst,,Card,Rivenstave,Cost 4,4,1,Mind,Sharp,sharp-staff-burst,cards/sharp-staff-burst.webp + sharp-staff-burst-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Choose a point within 18 Meter (60 Feet) of you. Make a Mind Roll against the Reflex of all entities within 3 Meter (10 Feet) of it. On a success, you deal 2d6 + 2 x Mind as Sharp damage.",
Sunderstave - Blast,,Card,Sunderstave,Cost 4,4,,Mind,Force,force-staff-blast,cards/force-staff-blast.webp + force-staff-blast-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Mind Ranged Attack against an entity within 18 Meter (60 Feet) of you. On a hit, you deal 2d6 + 2 x Mind as Force damage.",
Sunderstave - Burst,,Card,Sunderstave,Cost 4,4,1,Mind,Force,force-staff-burst,cards/force-staff-burst.webp + force-staff-burst-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Choose a point within 18 Meter (60 Feet) of you. Make a Mind Roll against the Reflex of all entities within 3 Meter (10 Feet) of it. On a success, you deal 2d6 + 2 x Mind as Force damage.",
Loadstave - Blast,,Card,Loadstave,Cost 4,4,,Mind,Blunt,blunt-staff-blast,cards/blunt-staff-blast.webp + blunt-staff-blast-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Mind Ranged Attack against an entity within 18 Meter (60 Feet) of you. On a hit, you deal 2d6 + 2 x Mind as Blunt damage.",
Loadstave - Burst,,Card,Loadstave,Cost 4,4,1,Mind,Blunt,blunt-staff-burst,cards/blunt-staff-burst.webp + blunt-staff-burst-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Choose a point within 18 Meter (60 Feet) of you. Make a Mind Roll against the Reflex of all entities within 3 Meter (10 Feet) of it. On a success, you deal 2d6 + 2 x Mind as Blunt damage.",
Paired Light Weapon - Strike,,Card,Paired Light Weapon,Cost 4,4,,Physique,Sharp or Blunt,paired-light-strike,cards/paired-light-strike.webp + paired-light-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack with disadvantage against an entity within 1 Meter (3 Feet) of you. On a hit, both weapons land and you deal 2d4 + Physique as Sharp or Blunt damage twice.",
Paired Light Weapon - Whirlwind,,Card,Paired Light Weapon,Cost 4,4,1,Physique,Sharp or Blunt,paired-light-whirlwind,cards/paired-light-whirlwind.webp + paired-light-whirlwind-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You turn once with both weapons out. Make a Physique Roll with disadvantage against the Reflex of all entities within 1 Meter (3 Feet) of you. On a success, you deal 2d4 + Physique as Sharp or Blunt damage twice.",
Melee Light + Shield - Strike,,Card,Melee Light + Shield,Cost 4,4,,Physique,Sharp or Blunt,melee-light-shield-strike,cards/melee-light-shield-strike.webp + melee-light-shield-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 2d6 + Physique as Sharp or Blunt damage.",
Melee Great - Strike,,Card,Melee Great,Cost 5,5,,Physique,Sharp or Blunt,melee-great-strike,cards/melee-great-strike.webp + melee-great-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 3d6 + 2 x Physique as Sharp or Blunt damage.",
Melee Great - Cleave,,Card,Melee Great,Cost 5,5,1,Physique,Sharp or Blunt,melee-great-cleave,cards/melee-great-cleave.webp + melee-great-cleave-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against all entities within 1 Meter (3 Feet) in front of you. On a hit, you deal 3d6 + 2 x Physique as Sharp or Blunt damage.",
Great Bow - Shoot,,Card,Great Bow,Cost 5,5,,Physique,Sharp,great-bow-shoot,cards/great-bow-shoot.webp + great-bow-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Ranged Attack against an entity within 60 Meter (200 Feet) of you. On a hit, you deal 3d6 + 2 x Physique as Sharp damage.",
Great Bow - Aimed Shot,,Card,Great Bow,Cost 5,6,1,Physique,Sharp,great-bow-aimed-shot,cards/great-bow-aimed-shot.webp + great-bow-aimed-shot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Ranged Attack with disadvantage against an entity within 60 Meter (200 Feet) of you. On a hit, the shot is a Critical Hit, dealing 3d6 + 2 x Physique as Sharp damage.",
Great Polearm - Thrust,,Card,Great Polearm,Cost 5,5,,Physique,Sharp,great-polearm-thrust,cards/great-polearm-thrust.webp + great-polearm-thrust-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against an entity within 3 Meter (10 Feet) of you. On a hit, you deal 3d6 + 2 x Physique as Sharp damage.",
Great Polearm - Drive,,Card,Great Polearm,Cost 5,5,1,Physique,Sharp,great-polearm-drive,cards/great-polearm-drive.webp + great-polearm-drive-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against an entity within 3 Meter (10 Feet) of you. On a hit, you deal 3d6 + 2 x Physique as Sharp damage and push the target 3 Meter (10 Feet) directly away from you.",
Heavy Crossbow - Shoot,,Card,Heavy Crossbow,Cost 5,4,,Instinct,Sharp,heavy-crossbow-shoot,cards/heavy-crossbow-shoot.webp + heavy-crossbow-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make an Instinct Ranged Attack against an entity within 45 Meter (150 Feet) of you. On a hit, you deal 3d6 + 2 x Instinct as Sharp damage. The bolt is spent. You cannot Shoot again until you have Reloaded.",
Heavy Crossbow - Reload,,Card,Heavy Crossbow,Cost 5,1,,Instinct,,heavy-crossbow-reload,cards/heavy-crossbow-reload.webp + heavy-crossbow-reload-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You crank the windlass until the catch takes it and lay a fresh bolt in the groove. Your Heavy Crossbow is loaded again, and stays loaded until you Shoot.",No attack on it. The picture is the weapon being loaded.
Decay Censer - Waft,,Card,Decay Censer,Cost 5,5,,Mind,Decay,decay-censer-waft,cards/decay-censer-waft.webp + decay-censer-waft-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You swing the censer and the smoke goes where you send it. Make a Mind Roll against the Grit of an entity within 3 Meter (10 Feet) of you. On a success, you deal 3d6 + 2 x Mind as Decay damage.",
Decay Censer - Fumigate,,Card,Decay Censer,Cost 5,5,1,Mind,Decay,decay-censer-fumigate,cards/decay-censer-fumigate.webp + decay-censer-fumigate-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","The censer opens and the smoke goes out in every direction at once. Make a Mind Roll against the Grit of all entities within 3 Meter (10 Feet) of you. On a success, you deal 3d6 + 2 x Mind as Decay damage.",
Sacred Censer - Waft,,Card,Sacred Censer,Cost 5,5,,Mind,Sacred,sacred-censer-waft,cards/sacred-censer-waft.webp + sacred-censer-waft-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You swing the censer and the smoke goes where you send it. Make a Mind Roll against the Grit of an entity within 3 Meter (10 Feet) of you. On a success, you deal 3d6 + 2 x Mind as Sacred damage.",
Sacred Censer - Fumigate,,Card,Sacred Censer,Cost 5,5,1,Mind,Sacred,sacred-censer-fumigate,cards/sacred-censer-fumigate.webp + sacred-censer-fumigate-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","The censer opens and the smoke goes out in every direction at once. Make a Mind Roll against the Grit of all entities within 3 Meter (10 Feet) of you. On a success, you deal 3d6 + 2 x Mind as Sacred damage.",
Psychic Censer - Waft,,Card,Psychic Censer,Cost 5,5,,Mind,Psychic,psychic-censer-waft,cards/psychic-censer-waft.webp + psychic-censer-waft-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You swing the censer and the smoke goes where you send it. Make a Mind Roll against the Grit of an entity within 3 Meter (10 Feet) of you. On a success, you deal 3d6 + 2 x Mind as Psychic damage.",
Psychic Censer - Fumigate,,Card,Psychic Censer,Cost 5,5,1,Mind,Psychic,psychic-censer-fumigate,cards/psychic-censer-fumigate.webp + psychic-censer-fumigate-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","The censer opens and the smoke goes out in every direction at once. Make a Mind Roll against the Grit of all entities within 3 Meter (10 Feet) of you. On a success, you deal 3d6 + 2 x Mind as Psychic damage.",
Paired Heavy Weapon - Strike,,Card,Paired Heavy Weapon,Cost 5,5,,Physique,Sharp or Blunt,paired-heavy-strike,cards/paired-heavy-strike.webp + paired-heavy-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack with disadvantage against an entity within 1 Meter (3 Feet) of you. On a hit, both weapons land and you deal 2d4 + 2 x Physique as Sharp or Blunt damage twice.",
Paired Heavy Weapon - Whirlwind,,Card,Paired Heavy Weapon,Cost 5,5,1,Physique,Sharp or Blunt,paired-heavy-whirlwind,cards/paired-heavy-whirlwind.webp + paired-heavy-whirlwind-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You turn once with both weapons out. Make a Physique Roll with disadvantage against the Reflex of all entities within 1 Meter (3 Feet) of you. On a success, you deal 2d4 + 2 x Physique as Sharp or Blunt damage twice.",
Melee Heavy + Shield - Strike,,Card,Melee Heavy + Shield,Cost 5,5,,Physique,Sharp or Blunt,melee-heavy-shield-strike,cards/melee-heavy-shield-strike.webp + melee-heavy-shield-strike-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Melee Attack against an entity within 1 Meter (3 Feet) of you. On a hit, you deal 2d6 + 2 x Physique as Sharp or Blunt damage.",
Ballista - Shoot,,Card,Ballista,Cost 6,5,,Physique,Sharp,ballista-shoot,cards/ballista-shoot.webp + ballista-shoot-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","Make a Physique Ranged Attack against an entity within 60 Meter (200 Feet) of you. On a hit, you deal 3d6 + 3 x Physique as Sharp damage. The bolt is spent. You cannot Shoot again until you have Reloaded.",
Ballista - Reload,,Card,Ballista,Cost 6,1,,Physique,,ballista-reload,cards/ballista-reload.webp + ballista-reload-thumb.webp,"360 x 270 on a dealt card, 92px on a brief","You throw your weight on the lever until the arms come back, and drop the next shaft in. Your Ballista is loaded again, and stays loaded until you Shoot.",No attack on it. The picture is the weapon being loaded.
