id,Name,Tags,AP,WP,Main Effect,Secondary Type,Secondary Effect,Image
sharpen-sense,SHARPEN SENSES,"Novice Spell, Primal, Wild",4,3,"You channel the spirit of the wild to heighten your perception for **1 hour**.

For the duration of the spell, you gain **advantage** on all **skill checks** that rely on one of your five senses.",OVERCAST,"While **Sharpen Senses** is active, when you fail a **skill check** that relies on one of your five senses, you may spend **2 Willpower** to **reroll** the check.

You can only use this effect once per **skill check**.",
primal-roar,PRIMAL ROAR,"Novice Spell, Primal, Wild",4,4,"You emulate the ferocity of the wild, letting out a bellowing roar that echoes across the battlefield.

Make a **{stat} Roll** {roll} against the **Grit** of all hostile entities that can hear you within **36 meters (120 feet)**.

On a success, the entity must spend **2 Action Points** on its next turn to move away from you. If the target has any **Reaction Points** available, it immediately spends them to start moving away from you first.",,,
wild-sweep,WILD SWEEP,"Adept Spell, Primal, Wild",4,3,"You manifest the spirit of a large flying creature that swoops down on an **entity you can see** within **12 meters (40 feet)**.

Make a **{stat} Ranged Attack** {roll}. On a hit, you deal [[2d6 + 2*stat]] in {damage} damage, and the target is carried **12 meters (40 feet)** in any direction of your choice.",OVERCAST,"When **Wild Sweep** hits, you may spend an additional **1 Action Point** and **1 Willpower** any number of times.

For each time you do, the target is carried an additional **3 meters (10 feet)**.",
savage-slam,SAVAGE SLAM,"Adept Spell, Primal, Wild",4,5,"You manifest the spirit of a mighty beast to slam the ground in a **6-meter (20-foot)** cone in front of you.

Make a **{stat} Attack Roll** {roll} against all entities in the area. On a hit, you deal [[4d6 + 4*stat]] in {damage} damage.",OVERCAST,"When casting **Savage Slam**, you may spend an additional **2 Action Points** and **2 Willpower**.

If you do, the spell affects a **6-meter (20-foot)** radius centered on you instead of a cone.",
pack-bond,PACK BOND,"Adept Spell, Primal, Wild",3,4,"You form a predatory bond with up to **5 allies you can see** for **10 turns (1 minute)**, binding you together as a **Wild Pack**. While this spell is active:

Attack rolls against a Wild Pack member have **disadvantage** while that member is adjacent to at least one other Wild Pack member.

Wild Pack members gain **advantage** on attack rolls against an entity if at least **2** Wild Pack members are adjacent to that same entity.

If a Wild Pack member falls **unconscious** or dies, every remaining member’s next attack is a guaranteed **critical** hit. Friendly fire and self-harm cannot trigger this effect.",,,
bird-view,BIRD VIEW,"Adept Spell, Primal, Wild",6,2,"You manifest a small spectral flying creature and project your consciousness into it for up to **1 hour**.

For the duration, you gain an aerial view of the surrounding area through the creature’s senses up to **500 meters (1,500 feet)** away from your physical body.

While controlling the creature, your physical body is **incapacitated** and cannot take actions.

You may end **Bird View** early.",,,
force-inebriation,FORCE INEBRIATION,"Novice Spell, Primal, Life",2,2,"You attempt to ferment the blood of an **entity you can see** within **15 meters (50 feet)**.

Make a **{stat} Roll** {roll} against the target’s **Grit**. On a success, the target becomes **poisoned**.

Outside of combat, the target is unaware of the spell’s source and believes they became suddenly sick.",MULTICAST,"When casting **Force Inebriation**, you may spend an additional **1 Action Point** and **1 Willpower** any number of times.

For each time you do, target an additional **eligible entity** within range.",
sense-life,SENSE LIFE,"Novice Spell, Primal, Life",1,1,"You open your awareness to the pulse and life force of surrounding living organisms.

For **10 turns (1 minute)**, you sense the exact location and health state of all living entities within **18 meters (60 feet)**, even through total cover or darkness.",OVERCAST,"While **Sense Life** is active, you may spend **3 Action Points** and **3 Willpower** to **mark** an entity within range.

You continue to sense the marked entity’s location and health state until your next **Long Rest**, even if the target leaves your range.",
renew,RENEW,"Novice Spell, Primal, Life",2,2,"You mend the flesh of an **entity you touch**, restoring [[1d6 + stat]] in **Health** immediately and again at the **Turn Start** of the target’s next **2** turns.",OVERCAST,"When casting **Renew**, you may spend an additional **2 Action Points** and **2 Willpower**.

If you do, you instantly restore [[2d6 + 2*stat]] in **Health** to all entities currently affected by your **Renew**, regardless of range or **line of sight**.",
giant-growth,GIANT GROWTH,"Novice Spell, Primal, Life",4,4,"You infuse an **entity you can touch** with life energy, tripling its size, doubling its **Movement Speed** and granting it **Empowered** for **10 turns**.",MULTICAST,"When casting **Giant Growth**, you may spend **3 Willpower** for each additional **entity you can touch**.",
bleeding-trail,BLEEDING TRAIL,"Novice Spell, Primal, Blood",6,4,"You touch a blood sample to create a trail of red mist that **only you can see**.

The trail lasts for **12 hours** and, if followed, leads you directly to the entity the blood came from.",BLOOD TITHE,"When casting **Bleeding Trail**, you may sacrifice **Health** equal to your **{physique}** [[physique]].

If you do so, you receive a clear mental image of the entity the blood originated from.",
blood-spear,BLOOD SPEAR,"Novice Spell, Primal, Blood",3,3,"You manifest a spear of blood and hurl it at an **entity you can see** within **9 meters (30 feet)**.

Make a **{stat} Ranged Attack** {roll} against the target. On a hit, you deal [[3d6 + 3*stat]] in {damage} damage.",BLOOD TITHE,"When casting **Blood Spear**, you may sacrifice **Health** equal to your **{physique}** [[physique]].

If you do so, the attack is made with **advantage** and the damage is **Empowered** by **1**.",
gore-armor,GORE ARMOR,"Novice Spell, Primal, Blood",2,2,"You expend some of your blood to create a protective layer.

You sacrifice **Health** equal to [[3*physique]] and gain **Shield** equal to [[6*physique]].",BLOOD TITHE,"When casting this spell, you may sacrifice a further **Health** equal to [[2*physique]].

If you do so, you gain additional **Shield** equal to the **Health** sacrificed.",
vampiric-touch,VAMPIRIC TOUCH,"Novice Spell, Primal, Blood",4,4,"You attempt to drain the life force of an **entity you can touch**.

Make a **{stat} Melee Attack** {roll} against the target. On a hit, you deal [[3d6 + 3*stat]] in {damage} damage and regain **Health** equal to half the damage dealt.",BLOOD TITHE,"When casting **Vampiric Touch**, you may sacrifice **Health** equal to your **{physique}** [[physique]].

If you do so, the attack is made with **advantage** and the damage is **Empowered** by **1**.",
